ENCFF543ITW	GM12892|POLR2AphosphoS5|None
ENCFF228LSW	HepG2|CREB1|None
ENCFF791OTS	endothelial-cell-of-umbilical-vein|POLR2A|None
ENCFF788VTS	GM12878|PKNOX1|None
ENCFF611LKA	HepG2|BCLAF1|None
ENCFF691HAG	K562|RAD51|None
ENCFF897HDW	GM08714|ZNF274|None
ENCFF497YYA	HEK293|eGFP-ZNF354C|None
ENCFF638SAT	K562|eGFP-CEBPG|None
ENCFF144DMD	K562|THAP1|None
ENCFF497ZJO	HepG2|FLAG-DNMT3B|None
ENCFF293PUF	MCF-7|ZKSCAN1|None
ENCFF645LHM	GM12878|CUX1|None
ENCFF641LIZ	HeLa-S3|MAFF|None
ENCFF322EMJ	HEK293|eGFP-ZNF697|None
ENCFF952CNN	GM12878|PAX5|None
ENCFF469LVB	IMR-90|CEBPB|None
ENCFF207EGF	GM12878|IRF5|None
ENCFF349TOJ	Panc1|CTCF|None
ENCFF824ANA	K562|POLR2AphosphoS5|None
ENCFF714DUV	A549|PHF8|None
ENCFF088EKR	K562|eGFP-HINFP|None
ENCFF061FMV	HepG2|FLAG-CEBPA|None
ENCFF264QLP	K562|RUNX1|None
ENCFF735TTP	PFSK-1|TAF1|None
ENCFF567RLB	HEK293|eGFP-ZSCAN26|None
ENCFF132YJB	HepG2|FLAG-ZFP64|None
ENCFF830PVS	GM12878|LARP7|None
ENCFF736EVD	HCT116|TCF7L2|None
ENCFF433PKW	K562|EP300|None
ENCFF622EUH	HepG2|FLAG-ZNF48|None
ENCFF363BEL	medulloblastoma|CTCF|None
ENCFF910CRE	A549|JUND|ethanol
ENCFF092GMD	GM12878|ASH2L|None
ENCFF184JNY	MCF-7|HES1|None
ENCFF613YPH	K562|PML|None
ENCFF090VAI	K562|JUN|interferon-gamma
ENCFF557UKG	HeLa-S3|TAF1|None
ENCFF304TYI	HEK293|eGFP-ZNF133|None
ENCFF016NUM	HepG2|FLAG-RFX3_isoform1|None
ENCFF075DWD	GM13976|CTCF|None
ENCFF222TUO	Ishikawa|POLR2A|dimethyl-sulfoxide
ENCFF522MKO	GM12874|CTCF|None
ENCFF376CLS	NT2/D1|SUZ12|None
ENCFF803RRC	GM13977|CTCF|None
ENCFF269LTR	GM12878|ETV6|None
ENCFF375FSG	HEK293|eGFP-KLF8|None
ENCFF188AYL	GM12878|EBF1|None
ENCFF615GQC	HepG2|FLAG-ZNF792|None
ENCFF975QOI	H1-hESC|GTF2F1|None
ENCFF158NBU	HepG2|ZHX2|None
ENCFF446MUL	K562|SIN3A|None
ENCFF416CBR	HepG2|ATF3|None
ENCFF910ZEV	HEK293|eGFP-ZNF324|None
ENCFF215CSP	K562|WDR5|None
ENCFF596TWD	K562|MNT|None
ENCFF749WKK	K562|TCF7L2|None
ENCFF249MMP	HepG2|FLAG-DMAP1|None
ENCFF960ZGP	GM12878|CTCF|None
ENCFF008DRS	GM12878|NR2F1|None
ENCFF801JVM	HepG2|TOE1|None
ENCFF759SNQ	HEK293|eGFP-KLF7|None
ENCFF110XUA	HEK293|eGFP-BCL11B|None
ENCFF378LBW	A549|CTCF|dexamethasone
ENCFF902EMG	HepG2|CHD2|None
ENCFF209OKY	K562|HNRNPUL1|None
ENCFF359ERT	K562|THRA|None
ENCFF418KCB	HepG2|FLAG-KLF16|None
ENCFF929MPZ	GM12878|SUPT20H|None
ENCFF287RKT	K562|NKRF|None
ENCFF161HQY	K562|eGFP-ZKSCAN8|None
ENCFF896OWK	GM12878|E2F4|None
ENCFF260DMD	HepG2|FLAG-ZNF652|None
ENCFF207ZRI	mammary-epithelial-cell|CTCF|None
ENCFF608OHW	HepG2|FLAG-FOXA3|None
ENCFF608GNP	K562|eGFP-PBX2|None
ENCFF517VDG	MCF-7|SUZ12|None
ENCFF479PEX	MCF-7|SMARCE1|None
ENCFF445RNG	K562|L3MBTL2|None
ENCFF027TJN	K562|POLR2AphosphoS2|None
ENCFF525YEM	HepG2|NFE2L2|None
ENCFF678KKB	K562|MTA3|None
ENCFF065MLN	GM12878|IRF3|None
ENCFF393PTD	HepG2|SUZ12|None
ENCFF812UIZ	HepG2|CEBPD|None
ENCFF658JOH	K562|TRIM25|None
ENCFF684RTT	HEK293|eGFP-ZBTB8A|None
